"REGION","YEAR","ANALYSIS_STRATUM","STRAT","PROT","NTOT","n","avSimp","avInvSimp","avShannon","Var_Simp","Var_InvSimp","Var_Shan","SE_Simp","SE_InvSimp","SE_Shan"
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",1294,30,0.719395544498563,4.20545026423271,1.45600965803643,0.000446484957012255,1.95599305182417,0.159627174628679,0.0211301906525297,1.39856821493418,0.399533696487142
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",866,19,0.788481456176382,5.08250491674722,1.72236001557547,8.9073877712451e-05,0.71888099087951,0.0278702492648067,0.00943789583076922,0.847868498577173,0.166943850634897
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",7618,16,0.522327751951332,2.30391366842465,0.865679886634667,0.00119706195563657,0.656220729769001,0.0991425712640702,0.0345985831449291,0.810074521120743,0.314869133552449
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",1045,6,0.62391014739229,3.28638926085735,1.16865186387262,0.00633372851104886,2.72215137180672,0.23715258232238,0.0795847253626527,1.64989435171066,0.486983143776435
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",845,7,0.550856818918043,2.80879703232644,1.00597739582506,0.00749248593421871,1.90369840054213,0.264991889059984,0.0865591470280219,1.37974577388087,0.514773628947699
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",1092,5,0.749714770794429,4.14263016889924,1.53368810981291,0.000680000050173613,0.636534462182112,0.0251639188805306,0.0260768105828457,0.797831098781009,0.158631393111611
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0","0",1294,8,0.765190790900419,4.44810976694538,1.59072420913247,0.000299230974277101,1.14129731096978,0.0503041929391407,0.0172982939701319,1.06831517398649,0.224285962421059
"SEFCRI",2016,"MIDR1 / PROT = 0","MIDR1","0",866,5,0.685220895826956,3.47234782608696,1.2555480639758,0.00257489915037228,1.13556234404537,0.140347107570289,0.0507434641148225,1.06562767608831,0.374629293529335
"SEFCRI",2016,"NEAR0 / PROT = 0","NEAR0","0",6272,18,0.559658660189907,2.42697932083014,0.950855040522766,0.00067437281212273,0.462213074215222,0.0681976529476961,0.025968689072087,0.679862540676586,0.261146803441467
"SEFCRI",2016,"NEAR1 / PROT = 0","NEAR1","0",1122,2,0.740102040816327,3.87082066869301,1.46058053737273,0.000404092044981259,0.179271255808797,0.0329738889472003,0.0201020408163265,0.423404364418693,0.181587138716376
"SEFCRI",2016,"OFFR0 / PROT = 0","OFFR0","0",1238,4,0.656080498027613,3.70234113712375,1.21605540280812,0.00596245322549458,6.07346673974564,0.37458356937623,0.077216923180703,2.4644404516534,0.612032327067966
"SEFCRI",2016,"OFFR1 / PROT = 0","OFFR1","0",3951,22,0.711569074250523,4.05199867514192,1.45694417351726,0.000982103444083529,1.91844989669178,0.155020077727533,0.0313385297051972,1.38508118776185,0.393725891614373
"SEFCRI",2018,"DPRC0 / PROT = 0","DPRC0","0",7618,11,0.585685299133101,2.5979305280342,1.01328548958278,0.00108901201742773,0.643692790181407,0.105169038744449,0.033000182081736,0.80230467416151,0.324297762472159
"SEFCRI",2018,"DPRC1 / PROT = 0","DPRC1","0",1045,7,0.606722384640441,2.78839451424817,1.14899914136504,0.00198139608225267,1.01989679538407,0.11761862393569,0.0445128754660118,1.00989939864527,0.342955717164316
"SEFCRI",2018,"INNR0 / PROT = 0","INNR0","0",845,4,0.723812516044715,3.63464802992549,1.45403012622384,9.74139144209072e-05,0.0676284422230818,0.0185255912591465,0.00986984875369968,0.260054690830759,0.136108747915578
"SEFCRI",2018,"INNR1 / PROT = 0","INNR1","0",1092,5,0.706229534606262,3.55053809832308,1.40691762654068,0.00100446792824428,0.597133808018062,0.0647865379446157,0.0316933420175955,0.772744335481058,0.254531997879669
"SEFCRI",2018,"MIDR0 / PROT = 0","MIDR0","0",1294,4,0.757604166666667,4.49285714285714,1.56194907567964,0.00157518446180556,2.32401360544218,0.105132999582617,0.0396885935982312,1.52447158236622,0.324242192785913
"SEFCRI",2018,"MIDR1 / PROT = 0","MIDR1","0",866,4,0.717696612414029,3.98488529014845,1.56254438650259,0.00271950953302728,2.72358588259291,0.0874008342395666,0.0521489168921779,1.65032902252639,0.295636320907237
"SEFCRI",2018,"NEAR0 / PROT = 0","NEAR0","0",6272,3,0.747736625514403,4.03216374269006,1.47848007350645,0.000582397669731919,0.380296501487638,0.0325963690688101,0.0241329167265774,0.616681847866173,0.180544645638718
"SEFCRI",2018,"NEAR1 / PROT = 0","NEAR1","0",1122,7,0.736396868115438,3.94339663576274,1.46397992357104,0.000451058027871516,0.683525760110275,0.0786518561766429,0.0212381267505285,0.826756167264736,0.280449382557072
"SEFCRI",2018,"OFFR0 / PROT = 0","OFFR0","0",1238,4,0.732065262133247,3.7619256560433,1.4915423947138,0.000186266201007268,0.151543654690473,0.0309064905448857,0.0136479376100299,0.38928608335063,0.175802419052997
"SEFCRI",2018,"OFFR1 / PROT = 0","OFFR1","0",3951,21,0.730685094592269,4.04947378300447,1.46886838463523,0.000388234152971282,1.2512926168171,0.0941894728994385,0.0197036583651687,1.11861191519539,0.306903035011775
"SEFCRI",2020,"DPRC0 / PROT = 0","DPRC0","0",30238,5,0.612232300327538,2.77591397849462,1.03973653573531,0.00254317918390073,0.742470574632906,0.107153112961839,0.0504299433263684,0.861667322481772,0.32734250100138
"SEFCRI",2020,"INNR0 / PROT = 0","INNR0","0",4085,7,0.769252635927999,4.52297012612091,1.5951642471678,0.000318933582743434,1.19240186761874,0.0492209285244239,0.0178587116764741,1.09197155073689,0.221857901649736
"SEFCRI",2020,"INNR1 / PROT = 0","INNR1","0",2332,5,0.722507037529016,3.83832430605742,1.53816736766088,0.0012010764593807,1.13273977886334,0.0264122886092984,0.0346565500213264,1.06430248466465,0.162518579274181
"SEFCRI",2020,"MIDR0 / PROT = 0","MIDR0","0",4677,6,0.660163323045267,3.33430982203361,1.26370827118718,0.00290013955736179,1.69068308019604,0.169722408939722,0.053852943813331,1.30026269661021,0.411973796423658
"SEFCRI",2020,"MIDR1 / PROT = 0","MIDR1","0",1764,7,0.771611202190941,4.72000697714983,1.66181547029659,0.000860177699489989,1.46870985556491,0.102833477987759,0.0293287861918967,1.2119034019116,0.320676594075337
"SEFCRI",2020,"NEAR0 / PROT = 0","NEAR0","0",24765,24,0.624031591012192,3.16582581644519,1.16099419279817,0.00119985401349011,1.56661606720467,0.168568556679335,0.034638908953518,1.25164534401909,0.410571012955536
"SEFCRI",2020,"NEAR1 / PROT = 0","NEAR1","0",1583,4,0.542269283746556,2.36428571428571,0.936225178577209,0.00498630208214755,0.63748299319728,0.148904442952234,0.0706137527833463,0.798425320989559,0.385881384562969
"SEFCRI",2020,"OFFR0 / PROT = 0","OFFR0","0",4884,4,0.795183527191103,5.03754010695187,1.72953222558385,0.00039820029977079,1.1545853451152,0.0406505355065575,0.0199549567719599,1.07451633078106,0.201619779551902
"SEFCRI",2020,"OFFR1 / PROT = 0","OFFR1","0",8262,15,0.764636886405888,4.66511125702401,1.60703130544677,0.000439314173308272,1.9134977133702,0.0898547103354379,0.0209598228358035,1.38329234559084,0.299757752752849
"SEFCRI",2020,"PTDP0 / PROT = 0","PTDP0","0",1607,1,0.53125,2.13333333333333,0.900256051268537,NA,NA,NA,NA,NA,NA
"SEFCRI",2020,"PTDP1 / PROT = 0","PTDP1","0",2528,6,0.701429739767808,4.25547972820519,1.47096380293009,0.0063726900014353,3.40203440216643,0.30248713517255,0.0798291300305553,1.8444604637038,0.54998830457797
"SEFCRI",2020,"PTSH2 / PROT = 0","PTSH2","0",709,6,0.557603773999835,2.94915232873259,0.998863455644958,0.00723553788691515,3.87074755196769,0.294624093838003,0.0850619649838584,1.96742154912659,0.542792864579116
"SEFCRI",2022,"DPRC0 / PROT = 0","DPRC0","0",30238,7,0.56547619047619,2.51428571428571,0.889327946393536,0.00246834845049131,0.718095238095238,0.0928267433783696,0.0496824762918608,0.84740500240159,0.304674815792788
"SEFCRI",2022,"INNR0 / PROT = 0","INNR0","0",4085,3,0.704218106995885,3.50994152046784,1.3469709738246,0.00172446823824282,0.643278957627988,0.100020696136301,0.0415267171618805,0.802046730326848,0.316260487788628
"SEFCRI",2022,"INNR1 / PROT = 0","INNR1","0",2332,13,0.744126111849392,4.48818348617526,1.63604287110752,0.00101695192145167,2.28920026749757,0.131596257715155,0.0318896836210658,1.5130103329117,0.362761984936618
"SEFCRI",2022,"MIDR0 / PROT = 0","MIDR0","0",4677,5,0.716111992945326,3.77770308123249,1.42843822803515,0.0016985635908227,1.01614722751846,0.0743953407554552,0.0412136335552048,1.00804128264593,0.272755092996364
"SEFCRI",2022,"MIDR1 / PROT = 0","MIDR1","0",1764,10,0.714229662112779,3.89277208171945,1.41135209403575,0.00110533125798788,1.52508566757134,0.13219750061316,0.0332465224946592,1.2349435888215,0.36358974217263
"SEFCRI",2022,"NEAR0 / PROT = 0","NEAR0","0",24765,20,0.631898410512047,3.1086413271717,1.19779235427785,0.000970700233792558,1.29723114177142,0.179432442477839,0.0311560625527771,1.13896055321131,0.42359466766927
"SEFCRI",2022,"NEAR1 / PROT = 0","NEAR1","0",1583,1,0.790123456790123,4.76470588235294,1.67698777432242,NA,NA,NA,NA,NA,NA
"SEFCRI",2022,"OFFR0 / PROT = 0","OFFR0","0",4884,4,0.628194444444444,3.11230158730159,1.12753619046412,0.00792085262345679,1.51182224741749,0.184747969512455,0.0889991720380408,1.22956181114147,0.429823184009954
"SEFCRI",2022,"OFFR1 / PROT = 0","OFFR1","0",8262,23,0.733447183782139,3.92952329741499,1.44646995783477,0.000145890322859119,0.832054183347827,0.0537728378890488,0.0120785066485522,0.912170040808087,0.231889710614871
"SEFCRI",2022,"PTDP0 / PROT = 0","PTDP0","0",1607,2,0.5625,2.33333333333333,0.866433975699932,0.00390625,0.222222222222222,0.0600566267397752,0.0625,0.471404520791032,0.245064535867137
"SEFCRI",2022,"PTDP1 / PROT = 0","PTDP1","0",2528,9,0.745857250533315,4.30311742125362,1.50987453925693,0.000703870558723503,1.85230582253472,0.0788631479631025,0.0265305589598769,1.360994424138,0.280825832079427
"SEFCRI",2022,"PTSH2 / PROT = 0","PTSH2","0",709,3,0.529613250086715,2.36484848484848,0.87958402615583,0.00978693417487107,0.997161432506887,0.194552430974819,0.0989289349728939,0.998579707638247,0.441080980064681
"SEFCRI",2020,"DPRC1 / PROT = 0","DPRC1","0",1721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEFCRI",2022,"DPRC1 / PROT = 0","DPRC1","0",1721,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
