"REGION","YEAR","ANALYSIS_STRATUM","STRAT","PROT","n","avmort","Var","SE","CV_perc","MORT_TYPE"
"SEFCRI",2014,"MIDR0 / PROT = 0","MIDR0","0",30,16.3937402893517,4.32649088991653,2.08002184842288,12.6879028928738,"Old"
"SEFCRI",2014,"MIDR1 / PROT = 0","MIDR1","0",19,17.1946391872686,2.48160827297588,1.57531211922459,9.16164684857706,"Old"
"SEFCRI",2016,"DPRC0 / PROT = 0","DPRC0","0",16,4.47478991596639,7.78471544867947,2.79011029328223,62.351760544711,"Old"
"SEFCRI",2016,"DPRC1 / PROT = 0","DPRC1","0",6,11.6316526610644,20.8756133172223,4.56898383858187,39.2806075947917,"Old"
"SEFCRI",2016,"INNR0 / PROT = 0","INNR0","0",7,19.0261904761905,81.45690287226,9.02534779785577,47.4364419359207,"Old"
"SEFCRI",2016,"INNR1 / PROT = 0","INNR1","0",5,2.0297619047619,1.90124007936508,1.37885462589973,67.9318408067901,"Old"
"SEFCRI",2016,"MIDR0 / PROT = 0","MIDR0","0",8,6.50004061078622,10.793207356923,3.28530171474752,50.5427875219096,"Old"
"SEFCRI",2016,"MIDR1 / PROT = 0","MIDR1","0",5,15.2047619047619,108.438884353741,10.4133992698706,68.487749660909,"Old"
"SEFCRI",2016,"NEAR0 / PROT = 0","NEAR0","0",18,11.0291666666667,21.0645417072775,4.5896123700458,41.6134102308649,"Old"
"SEFCRI",2016,"NEAR1 / PROT = 0","NEAR1","0",2,7.12962962962963,50.8316186556927,7.12962962962963,100,"Old"
"SEFCRI",2016,"OFFR0 / PROT = 0","OFFR0","0",4,3.4,14.45,3.80131556174964,111.803398874989,"Old"
"SEFCRI",2016,"OFFR1 / PROT = 0","OFFR1","0",22,3.80491874197231,1.50945255121139,1.22859779879804,32.2897250142374,"Old"
"SEFCRI",2018,"DPRC0 / PROT = 0","DPRC0","0",11,6.16125541125541,2.81896867562452,1.67897846192991,27.250590177819,"Old"
"SEFCRI",2018,"DPRC1 / PROT = 0","DPRC1","0",7,14.0710622710623,17.8295309208496,4.22250292135477,30.0084161381229,"Old"
"SEFCRI",2018,"INNR0 / PROT = 0","INNR0","0",4,8.04678362573099,5.83357272323108,2.41527901560691,30.0154586968591,"Old"
"SEFCRI",2018,"INNR1 / PROT = 0","INNR1","0",5,11.5792390066074,11.3504323859006,3.36904027668128,29.0955241079212,"Old"
"SEFCRI",2018,"MIDR0 / PROT = 0","MIDR0","0",4,10.8642857142857,11.2406972789116,3.3527149116666,30.859966313828,"Old"
"SEFCRI",2018,"MIDR1 / PROT = 0","MIDR1","0",4,5.91472630718954,1.43331099992591,1.19720967249931,20.2411677281511,"Old"
"SEFCRI",2018,"NEAR0 / PROT = 0","NEAR0","0",3,10.7929292929293,15.27520151005,3.90835022868345,36.212135951302,"Old"
"SEFCRI",2018,"NEAR1 / PROT = 0","NEAR1","0",7,18.1806722689076,47.5331239113292,6.89442701834817,37.9217386264586,"Old"
"SEFCRI",2018,"OFFR0 / PROT = 0","OFFR0","0",4,14.8041666666667,26.4661799125514,5.14452912447305,34.7505485469612,"Old"
"SEFCRI",2018,"OFFR1 / PROT = 0","OFFR1","0",21,21.0870424315802,14.9615646846613,3.86801818566838,18.3431042936376,"Old"
"SEFCRI",2020,"DPRC0 / PROT = 0","DPRC0","0",5,6.71666666666667,13.4594444444444,3.66871155100049,54.62101564765,"Old"
"SEFCRI",2020,"INNR0 / PROT = 0","INNR0","0",7,3.86654661864746,2.50480777878712,1.58265845297939,40.9320928744683,"Old"
"SEFCRI",2020,"INNR1 / PROT = 0","INNR1","0",5,6.08201272411799,10.4992103339721,3.24024849879946,53.2759243654716,"Old"
"SEFCRI",2020,"MIDR0 / PROT = 0","MIDR0","0",6,22.5300925925926,110.093498156722,10.4925448846656,46.5712461746175,"Old"
"SEFCRI",2020,"MIDR1 / PROT = 0","MIDR1","0",7,11.1922077922078,2.97228983992332,1.72403301590292,15.4038689051433,"Old"
"SEFCRI",2020,"NEAR0 / PROT = 0","NEAR0","0",24,14.7626042938543,5.53117248633184,2.35184448600069,15.9310948067596,"Old"
"SEFCRI",2020,"NEAR1 / PROT = 0","NEAR1","0",4,9.85984848484848,12.4893394168962,3.5340259502296,35.8425989573805,"Old"
"SEFCRI",2020,"OFFR0 / PROT = 0","OFFR0","0",4,5.59123376623377,2.64934091611851,1.6276796110164,29.1112781019135,"Old"
"SEFCRI",2020,"OFFR1 / PROT = 0","OFFR1","0",15,8.80668845315904,3.23793778257162,1.79942707064544,20.4325051376146,"Old"
"SEFCRI",2020,"PTDP0 / PROT = 0","PTDP0","0",1,5.71428571428571,NA,NA,NA,"Old"
"SEFCRI",2020,"PTDP1 / PROT = 0","PTDP1","0",6,4.70975837028469,4.51917112065598,2.12583421758518,45.1368000319872,"Old"
"SEFCRI",2020,"PTSH2 / PROT = 0","PTSH2","0",6,5.05902777777778,6.87640094521605,2.62228925658785,51.8338576456623,"Old"
"SEFCRI",2022,"DPRC0 / PROT = 0","DPRC0","0",7,24.047619047619,140.887188208617,11.86959090317,49.3586948448655,"Old"
"SEFCRI",2022,"INNR0 / PROT = 0","INNR0","0",3,0,3.33333333333333e-09,5.77350269189626e-05,Inf,"Old"
"SEFCRI",2022,"INNR1 / PROT = 0","INNR1","0",13,3.65144906128984,0.878920327444308,0.937507507940234,25.6749441715905,"Old"
"SEFCRI",2022,"MIDR0 / PROT = 0","MIDR0","0",5,4.33791208791209,4.43561315058568,2.10608954002095,48.5507658370885,"Old"
"SEFCRI",2022,"MIDR1 / PROT = 0","MIDR1","0",10,5.18149350649351,4.01472199968142,2.00367711961818,38.6698761101824,"Old"
"SEFCRI",2022,"NEAR0 / PROT = 0","NEAR0","0",20,6.43028973950027,1.72163568578088,1.31211115603095,20.4051638291018,"Old"
"SEFCRI",2022,"NEAR1 / PROT = 0","NEAR1","0",1,10,NA,NA,NA,"Old"
"SEFCRI",2022,"OFFR0 / PROT = 0","OFFR0","0",4,5.45833333333333,7.015625,2.64870251255214,48.5258475582071,"Old"
"SEFCRI",2022,"OFFR1 / PROT = 0","OFFR1","0",23,5.32592540309932,1.83306789196735,1.35390837650387,25.4210916231758,"Old"
"SEFCRI",2022,"PTDP0 / PROT = 0","PTDP0","0",2,0,5e-09,7.07106781186548e-05,Inf,"Old"
"SEFCRI",2022,"PTDP1 / PROT = 0","PTDP1","0",9,3.05151946818613,3.77339855759648,1.94252375985378,63.6575902630059,"Old"
"SEFCRI",2022,"PTSH2 / PROT = 0","PTSH2","0",3,24.1111111111111,526.901234567901,22.9543293208035,95.2022875056368,"Old"
"SEFCRI",2020,"DPRC1 / PROT = 0","DPRC1","0",0,NA,NA,NA,NA,"Old"
"SEFCRI",2022,"DPRC1 / PROT = 0","DPRC1","0",0,NA,NA,NA,NA,"Old"
