REGION,YEAR,ANALYSIS_STRATUM,STRAT,RUG_CD,PROT,n,avmort,Var,SE,CV_perc,MORT_TYPE
SEFCRI,2007,NEAR0 / PROT = 0,NEAR0,0,0,13,1.817806659152813,1.6559244811911464,1.286827292681946,70.79010774895448,Recent
SEFCRI,2007,NEAR1 / PROT = 0,NEAR1,1,0,1,0,NA,NA,NA,Recent
SEFCRI,2007,OFFR0 / PROT = 0,OFFR0,0,0,3,1.8849206349206349,1.3373173343411435,1.1564243746744287,61.351356298517054,Recent
SEFCRI,2007,OFFR1 / PROT = 0,OFFR1,1,0,7,1.360479797979798,0.46953202433789565,0.685224068708839,50.36635382064042,Recent
FLK,2007,OFPR / PROT = 0,OFPR,NA,0,8,0.9394857804232805,0.2293967932493534,0.47895385294342646,50.98042598661113,Recent
FLK,2007,OFPR / PROT = 1,OFPR,NA,1,2,1.4166666666666665,2.006944444444444,1.4166666666666665,100,Recent
Tortugas,2007,SPGR_LR / PROT = 2,SPGR_LR,NA,2,1,0,NA,NA,NA,Recent
FLK,2008,FMLR / PROT = 0,FMLR,NA,0,52,0.4048124359631558,0.018403845753605683,0.135660774557739,33.512007662256266,Recent
FLK,2008,FMLR / PROT = 1,FMLR,NA,1,4,0.3566477820636451,0.04247986954313279,0.20610645196871638,57.78991552285496,Recent
FLK,2008,FSLR / PROT = 0,FSLR,NA,0,13,1.4930726324957093,0.29479142829619087,0.5429469847933506,36.36440538634753,Recent
FLK,2008,FSLR / PROT = 1,FSLR,NA,1,1,2.5,NA,NA,NA,Recent
FLK,2008,HRRF / PROT = 0,HRRF,NA,0,4,0.05448717948717947,0.0029688527284681115,0.054487179487179474,100.00000000000003,Recent
FLK,2008,HRRF / PROT = 1,HRRF,NA,1,4,0.297847399829497,0.018664764406448292,0.13661904847585601,45.86880682996182,Recent
SEFCRI,2008,INNR0 / PROT = 0,INNR0,0,0,7,0.30612244897959184,0.024030303731469912,0.15501710786706707,50.63892190324191,Recent
SEFCRI,2008,INNR1 / PROT = 0,INNR1,1,0,4,0.563012206694272,0.10435905645539612,0.3230465236701923,57.378245059189936,Recent
FLK,2008,INPR / PROT = 0,INPR,NA,0,6,0.39250804765149583,0.11525448144159857,0.3394915042259505,86.49287734537911,Recent
FLK,2008,MCPR / PROT = 0,MCPR,NA,0,26,0.25699377746163454,0.014365427496131641,0.11985586133406927,46.63765112054591,Recent
FLK,2008,MCPR / PROT = 1,MCPR,NA,1,7,0.6114469317966287,0.11746067094345931,0.34272535789383796,56.05152958847959,Recent
SEFCRI,2008,MIDR0 / PROT = 0,MIDR0,0,0,3,1.8856209150326797,3.1218788713742587,1.7668839439460247,93.70303064947721,Recent
SEFCRI,2008,MIDR1 / PROT = 0,MIDR1,1,0,4,0.09615384615384617,0.009245562130177515,0.09615384615384616,99.99999999999999,Recent
SEFCRI,2008,NEAR0 / PROT = 0,NEAR0,0,0,22,3.4280218608371102,5.4167989578832545,2.327401761167,67.89343404591524,Recent
SEFCRI,2008,NEAR1 / PROT = 0,NEAR1,1,0,6,0.9881784434203789,0.13179425508834203,0.36303478495640334,36.737776195545436,Recent
SEFCRI,2008,OFFR0 / PROT = 0,OFFR0,0,0,3,3.666666666666667,13.444444444444443,3.6666666666666665,99.99999999999999,Recent
SEFCRI,2008,OFFR1 / PROT = 0,OFFR1,1,0,14,2.738192361080103,3.43108033039849,1.852317556575678,67.64745906474649,Recent
FLK,2008,OFPR / PROT = 0,OFPR,NA,0,17,0.24412716385886868,0.005275278368681148,0.07263111157542027,29.751343696192993,Recent
FLK,2008,OFPR / PROT = 1,OFPR,NA,1,1,0.0625,NA,NA,NA,Recent
Tortugas,2009,CONT_HR / PROT = 2,CONT_HR,NA,2,3,0.323018018018018,0.03694199131563997,0.19220299507458247,59.50225199631476,Recent
Tortugas,2009,CONT_LR / PROT = 2,CONT_LR,NA,2,8,0.5584273182957393,0.04467123195901499,0.21135570008640645,37.8483811879837,Recent
Tortugas,2009,CONT_MR / PROT = 2,CONT_MR,NA,2,4,1.2703457212452713,0.5190808709473341,0.7204726718948707,56.714692689216825,Recent
FLK,2009,FMLR / PROT = 0,FMLR,NA,0,75,0.29472396685179675,0.0030402184669242904,0.055138176129831226,18.70841272897148,Recent
FLK,2009,FMLR / PROT = 1,FMLR,NA,1,9,0.13453388212071488,0.006540213060207977,0.08087158376220895,60.1124285476608,Recent
FLK,2009,FSLR / PROT = 0,FSLR,NA,0,22,0.4954232013405551,0.03684695473340843,0.19195560615259047,38.74578454000173,Recent
FLK,2009,FSLR / PROT = 1,FSLR,NA,1,11,0.2072571872571873,0.013591608950058844,0.11658305601612459,56.25042854193308,Recent
FLK,2009,HRRF / PROT = 0,HRRF,NA,0,24,0.39273527051941987,0.014541212648933183,0.12058695057481628,30.70438527594723,Recent
FLK,2009,HRRF / PROT = 1,HRRF,NA,1,54,0.1611443176743646,0.001319032197393496,0.03631848286194642,22.537861332062405,Recent
SEFCRI,2009,INNR0 / PROT = 0,INNR0,0,0,4,0.9915404040404041,0.4076894098816448,0.6385056067738519,64.39531905830775,Recent
SEFCRI,2009,INNR1 / PROT = 0,INNR1,1,0,1,1,NA,NA,NA,Recent
FLK,2009,INPR / PROT = 0,INPR,NA,0,9,0.19645348021013184,0.0074537563885678565,0.0863351399406282,43.94686205013108,Recent
FLK,2009,INPR / PROT = 1,INPR,NA,1,3,0.13323298668126254,0.007814103778453976,0.08839741952372804,66.34799813893233,Recent
Tortugas,2009,ISOL_HR / PROT = 2,ISOL_HR,NA,2,3,0.7961245665494032,0.17940783097891233,0.4235656159072787,53.2034349527882,Recent
Tortugas,2009,ISOL_LR / PROT = 2,ISOL_LR,NA,2,4,0.0707070707070707,0.002895112743597592,0.05380625190066292,76.09741340236613,Recent
Tortugas,2009,ISOL_MR / PROT = 2,ISOL_MR,NA,2,3,0.3723054144138276,0.005208881168314109,0.07217257906098484,19.385315460592,Recent
FLK,2009,MCPR / PROT = 0,MCPR,NA,0,46,0.3587287248171377,0.0072904041160172794,0.08538386332333106,23.801791553451864,Recent
FLK,2009,MCPR / PROT = 1,MCPR,NA,1,15,0.5443294689302937,0.09606963894683415,0.309951026691047,56.94180535552431,Recent
SEFCRI,2009,MIDR0 / PROT = 0,MIDR0,0,0,4,0.8381831983805668,0.21123865839295566,0.459607069563726,54.833724948402875,Recent
SEFCRI,2009,MIDR1 / PROT = 0,MIDR1,1,0,5,0.7954545454545455,0.418101469237833,0.6466076625263831,81.28782043188816,Recent
SEFCRI,2009,NEAR0 / PROT = 0,NEAR0,0,0,29,0.6099770890592392,0.03563650015412052,0.18877632307606937,30.94810058640349,Recent
SEFCRI,2009,NEAR1 / PROT = 0,NEAR1,1,0,6,0,1.6666666666666667e-9,4.0824829046386304e-5,Inf,Recent
SEFCRI,2009,OFFR0 / PROT = 0,OFFR0,0,0,5,0.5713654401154401,0.11759528073262518,0.3429216830890476,60.01792530884662,Recent
SEFCRI,2009,OFFR1 / PROT = 0,OFFR1,1,0,11,2.150714576101573,2.124440707218645,1.4575461252456627,67.77031882527338,Recent
FLK,2009,OFPR / PROT = 0,OFPR,NA,0,37,0.14976928358677563,0.00220193695081468,0.04692480102051238,31.33139178924119,Recent
FLK,2009,OFPR / PROT = 1,OFPR,NA,1,9,0.4850835418060751,0.024829386496694108,0.15757343207753682,32.48377207168388,Recent
Tortugas,2009,SPGR_HR / PROT = 2,SPGR_HR,NA,2,5,0.8230972008145921,0.14559604629089581,0.381570499764979,46.35789058538302,Recent
Tortugas,2009,SPGR_LR / PROT = 2,SPGR_LR,NA,2,5,0.2916666666666667,0.08506944444444445,0.2916666666666667,100,Recent
FLK,2010,FDLR / PROT = 0,FDLR,NA,0,2,0,5e-9,7.071067811865475e-5,Inf,Recent
FLK,2010,FMLR / PROT = 0,FMLR,NA,0,49,0.33169697145078403,0.009601938695565245,0.09798948257627063,29.541868334727905,Recent
FLK,2010,FMLR / PROT = 1,FMLR,NA,1,2,0.028409090909090915,8.070764462809921e-4,0.028409090909090915,100,Recent
FLK,2010,FSLR / PROT = 0,FSLR,NA,0,14,0.44222592883307166,0.029741680228450324,0.17245776360735496,38.9976598754464,Recent
FLK,2010,FSLR / PROT = 1,FSLR,NA,1,2,0.8333333333333333,0.6944444444444443,0.8333333333333333,100,Recent
FLK,2010,HRRF / PROT = 0,HRRF,NA,0,3,0.8333333333333333,0.6944444444444445,0.8333333333333334,100.00000000000003,Recent
FLK,2010,HRRF / PROT = 1,HRRF,NA,1,11,0.5130252929488922,0.05253697640864863,0.22920945968403797,44.67800376206245,Recent
SEFCRI,2010,INNR0 / PROT = 0,INNR0,0,0,7,1.1806972789115646,0.3038847022652598,0.551257382957598,46.6891380884505,Recent
SEFCRI,2010,INNR1 / PROT = 0,INNR1,1,0,2,0.11363636363636365,0.01291322314049587,0.11363636363636365,100,Recent
FLK,2010,INPR / PROT = 0,INPR,NA,0,15,10.623775677835054,18.14918493386543,4.260186021040094,40.10048922558056,Recent
FLK,2010,INPR / PROT = 1,INPR,NA,1,2,0,5e-9,7.071067811865475e-5,Inf,Recent
FLK,2010,MCPR / PROT = 0,MCPR,NA,0,42,6.63268444724224,5.478299377588498,2.3405767190136064,35.28852816127532,Recent
FLK,2010,MCPR / PROT = 1,MCPR,NA,1,9,2.324566292012003,2.480647369515179,1.5750071014173805,67.75487998899573,Recent
SEFCRI,2010,MIDR0 / PROT = 0,MIDR0,0,0,10,0.9178571428571428,0.24149171705719324,0.49141806749161476,53.53971163332768,Recent
SEFCRI,2010,MIDR1 / PROT = 0,MIDR1,1,0,6,0.0925925925925926,0.008573388203017835,0.0925925925925926,100,Recent
SEFCRI,2010,NEAR0 / PROT = 0,NEAR0,0,0,27,0.5221758693980917,0.04304002079500745,0.20746088979614313,39.73007983599123,Recent
SEFCRI,2010,NEAR1 / PROT = 0,NEAR1,1,0,10,0.7095238095238093,0.2189065255731922,0.4678744763002062,65.9420402839217,Recent
SEFCRI,2010,OFFR0 / PROT = 0,OFFR0,0,0,6,0.8156565656565656,0.0852030405060708,0.29189559864114223,35.786581133712794,Recent
SEFCRI,2010,OFFR1 / PROT = 0,OFFR1,1,0,14,0.8839581287060277,0.20356255882638413,0.4511790762284795,51.04077462231531,Recent
FLK,2010,OFPR / PROT = 0,OFPR,NA,0,33,2.2700689593849055,0.8434783406243588,0.9184107690050018,40.457395146879286,Recent
FLK,2010,OFPR / PROT = 1,OFPR,NA,1,1,0,NA,NA,NA,Recent
Tortugas,2011,CONT_LR / PROT = 2,CONT_LR,NA,2,2,0,5e-9,7.071067811865475e-5,Inf,Recent
SEFCRI,2011,DPRC0 / PROT = 0,DPRC0,0,0,2,0,5e-9,7.071067811865475e-5,Inf,Recent
FLK,2011,FMLR / PROT = 0,FMLR,NA,0,48,1.457872485055422,0.3451184971067928,0.5874678689994822,40.29624504348535,Recent
FLK,2011,FMLR / PROT = 1,FMLR,NA,1,4,0,2.5e-9,5e-5,Inf,Recent
FLK,2011,FSLR / PROT = 0,FSLR,NA,0,21,0.12880160665484097,0.0014777700910589425,0.03844177533698128,29.845726567679005,Recent
FLK,2011,HRRF / PROT = 0,HRRF,NA,0,11,0.17874538327819753,0.0047089505095755345,0.06862179325531748,38.39080595917557,Recent
FLK,2011,HRRF / PROT = 1,HRRF,NA,1,15,0.29347529266858324,0.021422137763868532,0.1463630341441053,49.87235307382098,Recent
SEFCRI,2011,INNR0 / PROT = 0,INNR0,0,0,5,1.6666666666666665,1.1465277777777778,1.0707603736493885,64.24562241896331,Recent
SEFCRI,2011,INNR1 / PROT = 0,INNR1,1,0,2,1.0870535714285714,1.181685467155612,1.0870535714285714,100,Recent
FLK,2011,INPR / PROT = 0,INPR,NA,0,9,0.7066894793344068,0.11176170990492312,0.3343078071252945,47.30618141367567,Recent
FLK,2011,INPR / PROT = 1,INPR,NA,1,2,0,5e-9,7.071067811865475e-5,Inf,Recent
Tortugas,2011,ISOL_LR / PROT = 2,ISOL_LR,NA,2,2,0,5e-9,7.071067811865475e-5,Inf,Recent
Tortugas,2011,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,0,NA,NA,NA,Recent
FLK,2011,MCPR / PROT = 0,MCPR,NA,0,36,0.1918327106922318,0.0018502070488889241,0.0430140331623172,22.42267911822769,Recent
FLK,2011,MCPR / PROT = 1,MCPR,NA,1,10,0.3155946302643153,0.010354411790872759,0.10175663020596132,32.24282685695209,Recent
SEFCRI,2011,MIDR0 / PROT = 0,MIDR0,0,0,3,0.5416666666666666,0.08506944444444446,0.2916666666666667,53.846153846153854,Recent
SEFCRI,2011,MIDR1 / PROT = 0,MIDR1,1,0,1,4.102564102564102,NA,NA,NA,Recent
SEFCRI,2011,NEAR0 / PROT = 0,NEAR0,0,0,18,0.7960046822764483,0.1861672899409869,0.4314710765984053,54.20459027508052,Recent
SEFCRI,2011,NEAR1 / PROT = 0,NEAR1,1,0,4,3.284313725490196,3.5971741637831602,1.8966217766816769,57.74788693180031,Recent
SEFCRI,2011,OFFR0 / PROT = 0,OFFR0,0,0,2,0.3571428571428571,0.12755102040816324,0.3571428571428571,100,Recent
SEFCRI,2011,OFFR1 / PROT = 0,OFFR1,1,0,6,0.4371843434343435,0.15482964509361288,0.3934839832745583,90.00413422482315,Recent
FLK,2011,OFPR / PROT = 0,OFPR,NA,0,20,0.220170366924236,0.004028938718007654,0.0634739215584452,28.829457135931257,Recent
FLK,2011,OFPR / PROT = 1,OFPR,NA,1,1,0.09999999999999998,NA,NA,NA,Recent
Tortugas,2012,CONT_HR / PROT = 2,CONT_HR,NA,2,6,0.3289774681802546,0.009228614402623597,0.09606567754730926,29.201293960555557,Recent
Tortugas,2012,CONT_LR / PROT = 2,CONT_LR,NA,2,4,0.12195121951219509,0.014872099940511597,0.1219512195121951,100.00000000000003,Recent
Tortugas,2012,CONT_MR / PROT = 2,CONT_MR,NA,2,4,0.7394061276414218,0.03855529578049786,0.19635502484147904,26.555774627919,Recent
SEFCRI,2012,DPRC0 / PROT = 0,DPRC0,0,0,1,0,NA,NA,NA,Recent
FLK,2012,FMLR / PROT = 0,FMLR,NA,0,38,0.16854294376924372,0.0020547672080391093,0.04532954012604925,26.894949804668794,Recent
FLK,2012,FMLR / PROT = 1,FMLR,NA,1,1,0,NA,NA,NA,Recent
FLK,2012,FSLR / PROT = 0,FSLR,NA,0,18,1.2983786624509894,0.5569788521013749,0.746310158112145,57.48016196625662,Recent
FLK,2012,FSLR / PROT = 1,FSLR,NA,1,3,0,3.3333333333333334e-9,5.773502691896258e-5,Inf,Recent
FLK,2012,HRRF / PROT = 0,HRRF,NA,0,11,0.25786311389759675,0.04253831758837973,0.2062481941457421,79.98359712186208,Recent
FLK,2012,HRRF / PROT = 1,HRRF,NA,1,14,1.3148320977268344,0.4075612971374412,0.6384052765582701,48.55412928099229,Recent
SEFCRI,2012,INNR0 / PROT = 0,INNR0,0,0,4,0.09868421052631578,0.009738573407202215,0.09868421052631579,100.00000000000003,Recent
SEFCRI,2012,INNR1 / PROT = 0,INNR1,1,0,1,0,NA,NA,NA,Recent
FLK,2012,INPR / PROT = 0,INPR,NA,0,9,0.1824989824989825,0.01365062067665598,0.11683587067615828,64.02001209886728,Recent
FLK,2012,INPR / PROT = 1,INPR,NA,1,1,0,NA,NA,NA,Recent
Tortugas,2012,ISOL_HR / PROT = 2,ISOL_HR,NA,2,5,0.17573461665367904,0.007905858455812204,0.08891489445426004,50.59611825340309,Recent
Tortugas,2012,ISOL_LR / PROT = 2,ISOL_LR,NA,2,7,1.330028602350031,0.7549039640356129,0.8688520956040866,65.32582036723944,Recent
Tortugas,2012,ISOL_MR / PROT = 2,ISOL_MR,NA,2,1,0.33333333333333337,NA,NA,NA,Recent
FLK,2012,MCPR / PROT = 0,MCPR,NA,0,31,0.2681600316623475,0.00362529133104664,0.06021039221801034,22.453156738071986,Recent
FLK,2012,MCPR / PROT = 1,MCPR,NA,1,6,0.019841269841269837,3.9367598891408405e-4,0.01984126984126984,100.00000000000003,Recent
SEFCRI,2012,MIDR0 / PROT = 0,MIDR0,0,0,4,0.2512019230769231,0.03706073949087771,0.19251166066209524,76.63622089514988,Recent
SEFCRI,2012,NEAR0 / PROT = 0,NEAR0,0,0,19,3.76403778585219,2.1264815372757053,1.45824604826336,38.741535851325374,Recent
SEFCRI,2012,NEAR1 / PROT = 0,NEAR1,1,0,4,3.3916083916083912,4.1603501393711175,2.039693638606327,60.1394206846814,Recent
SEFCRI,2012,OFFR0 / PROT = 0,OFFR0,0,0,1,0,NA,NA,NA,Recent
SEFCRI,2012,OFFR1 / PROT = 0,OFFR1,1,0,7,0.3374975024975025,0.037989645777133305,0.1949093270655186,57.7513390834532,Recent
FLK,2012,OFPR / PROT = 0,OFPR,NA,0,17,0.2025612733368125,0.009705392266097897,0.09851594929805985,48.635135272994965,Recent
FLK,2012,OFPR / PROT = 1,OFPR,NA,1,1,0,NA,NA,NA,Recent
Tortugas,2012,SPGR_HR / PROT = 2,SPGR_HR,NA,2,9,0.47603319251869974,0.011054189761650728,0.10513890698333671,22.086465531330905,Recent
Tortugas,2012,SPGR_LR / PROT = 2,SPGR_LR,NA,2,5,1.369047619047619,1.1004818594104306,1.0490385404790572,76.62542382629634,Recent
FLK,2013,FMLR / PROT = 0,FMLR,NA,0,19,0.41117920240656886,0.0458886696778768,0.21421640851689397,52.098065092572334,Recent
FLK,2013,FSLR / PROT = 0,FSLR,NA,0,5,0.25,0.0625,0.25,100,Recent
FLK,2013,FSLR / PROT = 1,FSLR,NA,1,1,0,NA,NA,NA,Recent
FLK,2013,HRRF / PROT = 0,HRRF,NA,0,7,0.2361111111111111,0.02609678130511464,0.16154498229630854,68.41905132549539,Recent
FLK,2013,HRRF / PROT = 1,HRRF,NA,1,9,0.34150943464668954,0.018670957393568513,0.13664171176316736,40.01110888913825,Recent
SEFCRI,2013,INNR1 / PROT = 0,INNR1,1,0,1,0,NA,NA,NA,Recent
FLK,2013,INPR / PROT = 0,INPR,NA,0,8,0.5758928571428571,0.16087593891723348,0.40109342916237545,69.64723111036596,Recent
FLK,2013,INPR / PROT = 1,INPR,NA,1,2,0.0390625,0.00152587890625,0.0390625,100,Recent
FLK,2013,MCPR / PROT = 0,MCPR,NA,0,14,0.19228937439281443,0.00272712319925896,0.05222186514534846,27.157956756709854,Recent
FLK,2013,MCPR / PROT = 1,MCPR,NA,1,2,0,5e-9,7.071067811865475e-5,Inf,Recent
SEFCRI,2013,MIDR0 / PROT = 0,MIDR0,0,0,2,10.75,115.5625,10.75,100,Recent
SEFCRI,2013,NEAR0 / PROT = 0,NEAR0,0,0,3,0.4431818181818182,0.06383436639118457,0.2526546385704893,57.009251780007844,Recent
SEFCRI,2013,NEAR1 / PROT = 0,NEAR1,1,0,1,0,NA,NA,NA,Recent
SEFCRI,2013,OFFR0 / PROT = 0,OFFR0,0,0,3,2.1944444444444446,0.5126028806584363,0.7159629045267892,32.62615767463849,Recent
SEFCRI,2013,OFFR1 / PROT = 0,OFFR1,1,0,2,3.7812187812187803,12.880282804108973,3.5889110889110882,94.91413474240423,Recent
FLK,2013,OFPR / PROT = 0,OFPR,NA,0,8,0.09987574321813453,0.0031535471551524643,0.05615645248012435,56.226317492802366,Recent
FLK,2013,OFPR / PROT = 1,OFPR,NA,1,1,0.2941176470588236,NA,NA,NA,Recent
